structure,view,series,date,amount_cents,principal_cents,fee_cents,outstanding_principal_cents
net_30_2000000,bank_only,disbursement,2024-08-20,-200000000,200000000,0,200000000
net_30_2000000,bank_only,contractual,2024-09-19,201980000,200000000,1980000,0
net_30_2000000,event_adjusted,disbursement,2024-08-20,-200000000,200000000,0,200000000
net_30_2000000,event_adjusted,contractual,2024-09-19,201980000,200000000,1980000,0
net_60_2000000,bank_only,disbursement,2024-08-20,-200000000,200000000,0,200000000
net_60_2000000,bank_only,contractual,2024-10-21,203980000,200000000,3980000,0
net_60_2000000,event_adjusted,disbursement,2024-08-20,-200000000,200000000,0,200000000
net_60_2000000,event_adjusted,contractual,2024-10-21,203980000,200000000,3980000,0
net_90_2000000,bank_only,disbursement,2024-08-20,-200000000,200000000,0,200000000
net_90_2000000,bank_only,contractual,2024-11-18,205980000,200000000,5980000,0
net_90_2000000,event_adjusted,disbursement,2024-08-20,-200000000,200000000,0,200000000
net_90_2000000,event_adjusted,contractual,2024-11-18,205980000,200000000,5980000,0
inst_60_2000000,bank_only,disbursement,2024-08-20,-200000000,200000000,0,200000000
inst_60_2000000,bank_only,contractual,2024-09-20,101790000,100000000,1790000,100000000
inst_60_2000000,bank_only,contractual,2024-10-21,101790000,100000000,1790000,0
inst_60_2000000,event_adjusted,disbursement,2024-08-20,-200000000,200000000,0,200000000
inst_60_2000000,event_adjusted,contractual,2024-09-20,101790000,100000000,1790000,100000000
inst_60_2000000,event_adjusted,contractual,2024-10-21,101790000,100000000,1790000,0
inst_90_2000000,bank_only,disbursement,2024-08-20,-200000000,200000000,0,200000000
inst_90_2000000,bank_only,contractual,2024-09-20,68326667,66666667,1660000,133333333
inst_90_2000000,bank_only,contractual,2024-10-21,68326667,66666667,1660000,66666666
inst_90_2000000,bank_only,contractual,2024-11-20,68326666,66666666,1660000,0
inst_90_2000000,event_adjusted,disbursement,2024-08-20,-200000000,200000000,0,200000000
inst_90_2000000,event_adjusted,contractual,2024-09-20,68326667,66666667,1660000,133333333
inst_90_2000000,event_adjusted,contractual,2024-10-21,68326667,66666667,1660000,66666666
inst_90_2000000,event_adjusted,contractual,2024-11-20,68326666,66666666,1660000,0
inst_120_2000000,bank_only,disbursement,2024-08-20,-200000000,200000000,0,200000000
inst_120_2000000,bank_only,contractual,2024-09-20,51595000,50000000,1595000,150000000
inst_120_2000000,bank_only,contractual,2024-10-21,51595000,50000000,1595000,100000000
inst_120_2000000,bank_only,contractual,2024-11-20,51595000,50000000,1595000,50000000
inst_120_2000000,bank_only,contractual,2024-12-20,51595000,50000000,1595000,0
inst_120_2000000,event_adjusted,disbursement,2024-08-20,-200000000,200000000,0,200000000
inst_120_2000000,event_adjusted,contractual,2024-09-20,51595000,50000000,1595000,150000000
inst_120_2000000,event_adjusted,contractual,2024-10-21,51595000,50000000,1595000,100000000
inst_120_2000000,event_adjusted,contractual,2024-11-20,51595000,50000000,1595000,50000000
inst_120_2000000,event_adjusted,contractual,2024-12-20,51595000,50000000,1595000,0
inst_120_1850000,bank_only,disbursement,2024-08-20,-185000000,185000000,0,185000000
inst_120_1850000,bank_only,contractual,2024-09-20,47725375,46250000,1475375,138750000
inst_120_1850000,bank_only,contractual,2024-10-21,47725375,46250000,1475375,92500000
inst_120_1850000,bank_only,contractual,2024-11-20,47725375,46250000,1475375,46250000
inst_120_1850000,bank_only,contractual,2024-12-20,47725375,46250000,1475375,0
inst_120_1850000,event_adjusted,disbursement,2024-08-20,-185000000,185000000,0,185000000
inst_120_1850000,event_adjusted,contractual,2024-09-20,47725375,46250000,1475375,138750000
inst_120_1850000,event_adjusted,contractual,2024-10-21,47725375,46250000,1475375,92500000
inst_120_1850000,event_adjusted,contractual,2024-11-20,47725375,46250000,1475375,46250000
inst_120_1850000,event_adjusted,contractual,2024-12-20,47725375,46250000,1475375,0
