structure,view,series,paths,placement,weight_bps,weight_basis,date,amount_cents
net_30_2000000,bank_only,disbursement,,,,,2024-08-20,-200000000
net_30_2000000,bank_only,contractual,,,,,2024-09-19,203200000
net_30_2000000,bank_only,conditional,bank_only,central,10000,,2024-09-19,203200000
net_30_2000000,bank_only,expected,,central,,model_judgment,2024-09-19,203200000
net_30_2000000,event_adjusted,disbursement,,,,,2024-08-20,-200000000
net_30_2000000,event_adjusted,contractual,,,,,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_002_p1,stress,,,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_002_p1,central,90,model_judgment,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_002_p2,stress,,,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_002_p2,central,3,model_judgment,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_002_p3,stress,,,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_002_p3,central,33,model_judgment,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p2+dispute_002_p1,stress,,,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p2+dispute_002_p1,central,3639,model_judgment,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p2+dispute_002_p2,stress,,,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p2+dispute_002_p2,central,134,model_judgment,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p2+dispute_002_p3,stress,,,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p2+dispute_002_p3,central,1322,model_judgment,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p3+dispute_002_p1,stress,,,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p3+dispute_002_p1,central,661,model_judgment,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p3+dispute_002_p2,stress,,,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p3+dispute_002_p2,central,24,model_judgment,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p3+dispute_002_p3,central,240,model_judgment,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p4+dispute_002_p1,stress,,,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p4+dispute_002_p1,central,145,model_judgment,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p4+dispute_002_p2,stress,,,2024-09-19,203200000
