structure,view,series,paths,placement,date,amount_cents
net_30_2000000,bank_only,disbursement,,,2024-08-20,-200000000
net_30_2000000,bank_only,contractual,,,2024-09-19,203200000
net_30_2000000,bank_only,conditional,bank_only,central,2024-09-19,203200000
net_30_2000000,event_adjusted,disbursement,,,2024-08-20,-200000000
net_30_2000000,event_adjusted,contractual,,,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p1,stress,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p1,central,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p2,stress,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p2,central,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p3,stress,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p3,central,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p4,stress,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p4,central,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p5,stress,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p5,central,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p6,stress,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p6,central,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p7,stress,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p7,central,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p8,stress,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p8,central,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p1,stress,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p1,central,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p2,stress,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p2,central,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p3,stress,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p3,central,2024-09-19,203200000
net_30_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p4,stress,2024-09-19,203200000
