date,view,contractual_cumulative_cents,collected_expected_cumulative_cents,collected_p5_cents,collected_p50_cents,collected_p95_cents,outstanding_principal_expected_cents
2024-08-20,bank_only,0,0,0,0,0,200000000
2024-08-21,bank_only,0,0,0,0,0,200000000
2024-08-22,bank_only,0,0,0,0,0,200000000
2024-08-23,bank_only,0,0,0,0,0,200000000
2024-08-24,bank_only,0,0,0,0,0,200000000
2024-08-25,bank_only,0,0,0,0,0,200000000
2024-08-26,bank_only,0,0,0,0,0,200000000
2024-08-27,bank_only,0,0,0,0,0,200000000
2024-08-28,bank_only,0,0,0,0,0,200000000
2024-08-29,bank_only,0,0,0,0,0,200000000
2024-08-30,bank_only,0,0,0,0,0,200000000
2024-08-31,bank_only,0,0,0,0,0,200000000
2024-09-01,bank_only,0,0,0,0,0,200000000
2024-09-02,bank_only,0,0,0,0,0,200000000
2024-09-03,bank_only,0,0,0,0,0,200000000
2024-09-04,bank_only,0,0,0,0,0,200000000
2024-09-05,bank_only,0,0,0,0,0,200000000
2024-09-06,bank_only,0,0,0,0,0,200000000
2024-09-07,bank_only,0,0,0,0,0,200000000
2024-09-08,bank_only,0,0,0,0,0,200000000
2024-09-09,bank_only,0,0,0,0,0,200000000
2024-09-10,bank_only,0,0,0,0,0,200000000
2024-09-11,bank_only,0,0,0,0,0,200000000
2024-09-12,bank_only,0,0,0,0,0,200000000
2024-09-13,bank_only,0,0,0,0,0,200000000
2024-09-14,bank_only,0,0,0,0,0,200000000
2024-09-15,bank_only,0,0,0,0,0,200000000
2024-09-16,bank_only,0,0,0,0,0,200000000
2024-09-17,bank_only,0,0,0,0,0,200000000
2024-09-18,bank_only,0,0,0,0,0,200000000
2024-09-19,bank_only,0,0,0,0,0,200000000
2024-09-20,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-21,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-22,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-23,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-24,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-25,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-26,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-27,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-28,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-29,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-30,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-01,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-02,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-03,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-04,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-05,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-06,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-07,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-08,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-09,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-10,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-11,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-12,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-13,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-14,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-15,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-16,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-17,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-18,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-19,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-20,bank_only,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-21,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-22,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-23,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-24,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-25,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-26,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-27,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-28,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-29,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-30,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-31,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-01,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-02,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-03,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-04,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-05,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-06,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-07,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
